1FA6P8JZXL5552300;GT350®;In Order Processing;L6;85L;D-Patrick Inc;1100 E Walnut Street Evansville, IN 47714;2020-07-15;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552301;GT350®;In Order Processing;N4;85E;McCandless Ford Meadville, Inc.;433 Baldwin St. Meadville, PA 16335;2020-07-22;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552302;GT350®;In Order Processing;YZ;85K;Steve Link Ford Lincoln, Inc.;916 West Street Grinnell, IA 50112;2020-07-29;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552303;GT350®;In Order Processing;FM;85K;Beechmont Ford, Inc.;600 Ohio Pike Cincinnati, OH 45245;2020-07-29;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552304;GT350®;In Order Processing;YZ;SLB;;;2020-07-29;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552305;GT350®;In Order Processing;G1;SLB;Criswell Ford;430 Hoover Road Woodstock, VA 22664;2020-07-03;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552306;GT350®;In Order Processing;N4;85E;Riess Ford Sales, Inc.;768 State, Route 13 Marissa, IL 62257;2020-07-29;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552307;GT350®;In Order Processing;E7;85K;Peru Ford;800 North Broadway Avenue Peru, IN 46970;2020-07-17;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552308;GT350®;In Order Processing;FM;SLB;Mike Carpino Ford, Inc.;715 North East Avenue Columbus, KS 66725;2020-07-17;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552309;GT350®;In Order Processing;FM;85K;Smith Ford;412 East Motel Drive Lordsburg, NM 88045;2020-07-21;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552310;GT350R;In Order Processing;N4;85E;Apple Sport Ford;1639 Hwy 6 Marlin, TX 76661;2020-07-21;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZ4L5552311;GT350®;In Order Processing;N4;85E;Pritchard Auto Company;980 Highway 18 East Britt, IA 50423;2020-07-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552312;GT350®;In Order Processing;YZ;85M;;;2020-07-30;;SLB.RWD.99Z.64S.SSR.17F.L59.SED.574.WCC.19B.ANT.457.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552313;GT350R;In Order Processing;N4;85E;Ford of Franklin;1129 Murfreesboro Rd. Franklin, TN 37064;2020-08-04;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZXL5552314;GT350®;In Order Processing;N4;85E;Pritchard Auto Company;980 Highway 18 East Britt, IA 50423;2020-08-04;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552315;GT350®;In Order Processing;N4;85E;Herring Ford, Inc.;820 Memorial Boulevard Picayune, MS 39466;2020-08-03;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552316;GT350®;In Order Processing;N4;85E;Forest City Ford, Inc.;745 North Highway 69 Forest City, IA 50436;2020-08-04;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552317;GT350®;In Order Processing;J7;SLB;Randall Ford Inc;5500 Rogers Ave Fort Smith, AR 72903;2020-08-04;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552318;GT350®;In Order Processing;N4;85E;Abby Ford, Inc.;501 N. Fourth St Abbotsford, WI 54405;2020-08-04;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
